NOTATION,INSPECTION AREA,STREET_NO,STREET_NAME,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,ADDRESS,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,NUMBER_KEY,COMMUNITY_CODE,COMMUNITY,ESRI_OID,
VACATE THE BUILDING,1120,911,ELBERON AV,FINLNOTC,CBHCODE ,  ,911 ELBERON AV,VACANT  ,N,1382299,410105,017500180247      ,B201705458,9,EAST PRICE HILL,29,
KEEP THE BUILDING VACANT,1120,959,ELBERON AV,ORDERS  ,CBHCODE ,  ,959 ELBERON AV,VACANT  ,N,1382397,410669,017500180192      ,B201610528,9,EAST PRICE HILL,30,
CONDEMNATION,1100,972,ELBERON AV,CIVIL1  ,CBHCODE ,  ,972 ELBERON AV,VACANT  ,N,1382536,410809,017500170136      ,B201609967,9,EAST PRICE HILL,31,
CONDEMNATION,1100,1230,ELBERON AV,HAZARD  ,CBHCODE ,  ,1230 ELBERON AV,VACANT  ,N,1382730,412642,017300020110      ,B201805363,9,EAST PRICE HILL,32,
KEEP THE BUILDING VACANT,1100,1236,ELBERON AV,PREPROS ,CBHCODE ,  ,1236 ELBERON AV,VACANT  ,N,1382732,412724,017300020107      ,B201401716,9,EAST PRICE HILL,33,
CONDEMNATION,1090,1604,ELBERON AV,PREPROS ,CBHCODE ,  ,1604 ELBERON AV,VACANT  ,N,1382799,413292,020400200085      ,B201301490,9,EAST PRICE HILL,34,
KEEP THE BUILDING VACANT,0180,18,ELDER ST,ORDERS  ,CBHCODEC,W ,18 W ELDER ST,VACANT  ,N,1396134,412769,009400080328      ,BC20180373,28,OVER-THE-RHINE,35,
KEEP THE BUILDING VACANT,0180,24,ELDER ST,ORDERS  ,CBHCODE ,W ,24 W ELDER ST,VACANT  ,N,1396074,412761,009400080325      ,B201506625,28,OVER-THE-RHINE,36,
KEEP THE BUILDING VACANT,0180,103,ELDER ST,ORDERS  ,CBHCODE ,W ,103 W ELDER ST,VACANT  ,N,1395867,412542,009400080183      ,B201106388,28,OVER-THE-RHINE,37,
KEEP THE BUILDING VACANT,0180,105,ELDER ST,ORDERS  ,CBHCODE ,W ,105 W ELDER ST,VACANT  ,N,1395846,412538,009400080182      ,B201106389,28,OVER-THE-RHINE,38,
KEEP THE BUILDING VACANT,0180,111,ELDER ST,ORDERS  ,CBHCODE ,W ,111 W ELDER ST,VACANT  ,N,1395784,412523,009400080178      ,B200904985,28,OVER-THE-RHINE,39,
KEEP THE BUILDING VACANT,0180,113,ELDER ST,ORDERS  ,CBHCODE ,W ,113 W ELDER ST,VACANT  ,N,1395764,412520,009400080178      ,B200904986,28,OVER-THE-RHINE,40,
KEEP THE BUILDING VACANT,0180,116,ELDER ST,ORDERS  ,CBHCODE ,W ,116 W ELDER ST,VACANT  ,N,1395690,412694,009400080276      ,B200905015,28,OVER-THE-RHINE,41,
KEEP THE BUILDING VACANT,0180,120,ELDER ST,ORDERS  ,CBHCODE ,W ,120 W ELDER ST,VACANT  ,N,1395620,412682,009400080251      ,B200905013,28,OVER-THE-RHINE,42,
HISTORIC -DANGEROUS & UNSAFE,0180,121,ELDER ST,ORDERS  ,CBHCODEC,W ,121 W ELDER ST,VACANT  ,N,1395654,412500,009400080150      ,BC20190088,28,OVER-THE-RHINE,43,
KEEP THE BUILDING VACANT,0180,122,ELDER ST,ORDERS  ,CBHCODE ,W ,122 W ELDER ST,VACANT  ,N,1395600,412705,009400080250      ,B201509921,28,OVER-THE-RHINE,44,
KEEP THE BUILDING VACANT,0180,128,ELDER ST,ORDERS  ,CBHCODE ,W ,128 W ELDER ST,VACANT  ,N,1395532,412700,009400080247      ,B200905016,28,OVER-THE-RHINE,45,
KEEP THE BUILDING VACANT,0180,129,ELDER ST,ORDERS  ,CBHCODE ,W ,129 W ELDER ST,VACANT  ,N,1395566,412490,009400080146      ,B201003776,28,OVER-THE-RHINE,46,
KEEP THE BUILDING VACANT,0180,131,ELDER ST,ORDERS  ,CBHCODE ,W ,131 W ELDER ST,VACANT  ,N,1395550,412487,009400080145      ,B200905014,28,OVER-THE-RHINE,47,
KEEP THE BUILDING VACANT,0180,133,ELDER ST,ORDERS  ,CBHCODE ,W ,133 W ELDER ST,VACANT  ,N,1395528,412483,009400080144      ,B200905579,28,OVER-THE-RHINE,48,
KEEP THE BUILDING VACANT,0300,1006,ELIZA ST,CIVIL1  ,CBHCODE ,  ,1006 ELIZA ST,VACANT  ,N,1392168,417256,009800050053      ,B201609797,17,FAIRVIEW-CLIFTON HEIGHTS,49,
KEEP THE BUILDING VACANT,0090,819,ELM ST,CIVIL2  ,CBHCODEC,  ,819 ELM ST,VACANT  ,N,1396083,408731,007700010055      ,BC20160418,25,CBD-RIVERFRONT,50,
HISTORIC -DANGEROUS & UNSAFE,0110,1409,ELM ST,ORDERS  ,CBHCODE ,  ,1409 ELM ST,VACANT  ,N,1395682,410814,008100020262      ,B201505143,28,OVER-THE-RHINE,51,
KEEP THE BUILDING VACANT,0110,1416,ELM ST,ORDERS  ,CBHCODE ,  ,1416 ELM ST,VACANT  ,N,1395819,410941,008100020368      ,B201806294,28,OVER-THE-RHINE,52,
KEEP THE BUILDING VACANT,0110,1534,ELM ST,VSUSPEND,CBHCODE ,  ,1534 ELM ST,VACANT  ,N,1395720,411502,008100020282      ,B201305896,28,OVER-THE-RHINE,53,
HISTORIC -DANGEROUS & UNSAFE,0110,1539,ELM ST,ORDERS  ,CBHCODEC,  ,1539 ELM ST,VACANT  ,N,1395524,411705,008100010055      ,BC20180039,28,OVER-THE-RHINE,54,
KEEP THE BUILDING VACANT,0110,1540,ELM ST,PREPROS ,CBHCODE ,  ,1540 ELM ST,VACANT  ,N,1395709,411546,008100020280      ,B200906754,28,OVER-THE-RHINE,55,
KEEP THE BUILDING VACANT,0110,1546,ELM ST,ORDERS  ,CBHCODE ,  ,1546 ELM ST,VACANT  ,N,1395707,411595,008100020278      ,B201906559,28,OVER-THE-RHINE,56,
KEEP THE BUILDING VACANT,0180,1606,ELM ST,PREPROS ,CBHCODE ,  ,1606 ELM ST,VACANT  ,N,1395626,411930,009400080004      ,B201402706,28,OVER-THE-RHINE,57,
KEEP THE BUILDING VACANT,0180,1606,ELM ST,ORDERS  ,CBHCODE ,  ,1606 ELM ST,VACANT  ,N,1395626,411930,009400080004      ,B201905826,28,OVER-THE-RHINE,58,
KEEP THE BUILDING VACANT,0180,1612,ELM ST,PREPROS ,CBHCODE ,  ,1612 ELM ST,VACANT  ,N,1395629,411993,009400080009      ,B201105122,28,OVER-THE-RHINE,59,
HISTORIC -DANGEROUS & UNSAFE,0180,1616,ELM ST,VSUSPEND,CBHCODE ,  ,1616 ELM ST,VACANT  ,N,1395606,412029,009400080011      ,B201602911,28,OVER-THE-RHINE,60,
HISTORIC -DANGEROUS & UNSAFE,0180,1618,ELM ST,PREPROS ,CBHCODE ,  ,1618 ELM ST,VACANT  ,N,1395611,412049,009400080012      ,B201600052,28,OVER-THE-RHINE,61,
KEEP THE BUILDING VACANT,0180,1704,ELM ST,FINLNOTC,CBHCODE ,  ,1704 ELM ST,VACANT  ,N,1395572,412228,009400080120      ,B201103208,28,OVER-THE-RHINE,62,
HISTORIC -DANGEROUS & UNSAFE,0180,1711,ELM ST,PETITION,CBHCODE ,  ,1711 ELM ST,VACANT  ,N,1395447,412147,013300030041      ,B201806987,28,OVER-THE-RHINE,63,
KEEP THE BUILDING VACANT,0180,1713,ELM ST,FINLNOTC,CBHCODE ,  ,1713 ELM ST,VACANT  ,N,1395431,412168,013300030043      ,B201806988,28,OVER-THE-RHINE,64,
KEEP THE BUILDING VACANT,0180,1717,ELM ST,ORDERS  ,CBHCODE ,  ,1717 ELM ST,VACANT  ,N,1395439,412265,013300030059      ,B201701915,28,OVER-THE-RHINE,65,
KEEP THE BUILDING VACANT,0180,1725,ELM ST,CRIMPREP,CBHCODE ,  ,1725 ELM ST,VACANT  ,N,1395418,412363,013300030063      ,B201706214,28,OVER-THE-RHINE,66,
KEEP THE BUILDING VACANT,0180,1725,ELM ST,INTAKE  ,CBHCODE ,  ,1725 ELM ST,VACANT  ,N,1395418,412363,013300030063      ,B201907068,28,OVER-THE-RHINE,67,
KEEP THE BUILDING VACANT,0180,1733,ELM ST,VSUSPEND,CBHCODE ,  ,1733 ELM ST,VACANT  ,N,1395385,412430,013300030067      ,B201903407,28,OVER-THE-RHINE,68,
HISTORIC -DANGEROUS & UNSAFE,0180,1906,ELM ST,ORDERS  ,CBHCODE ,  ,1906 ELM ST,VACANT  ,N,1395411,413107,009600060047      ,B201702487,28,OVER-THE-RHINE,69,
HISTORIC -DANGEROUS & UNSAFE,0180,1921,ELM ST,CRIMINAL,CBHCODE ,  ,1921 ELM ST,VACANT  ,N,1395254,413276,009600050113      ,B201507902,28,OVER-THE-RHINE,70,
CONDEMNATION,0920,1821,ELMORE ST,CIVIL1  ,CBHCODE ,  ,1821 ELMORE ST,VACANT  ,N,1387310,427493,019400070134      ,B201301321,7,S CUMMINSVILLE-MILLVALE,71,
CONDEMNATION,0920,1821,ELMORE ST,CIVIL1  ,CBHCODE ,  ,1821 ELMORE ST,VACANT  ,N,1387310,427493,019400070134      ,B201301321,7,S CUMMINSVILLE-MILLVALE,71,
CONDEMNATION,0920,1921,EMMA PL,HAZARD  ,CBHCODE ,  ,1921 EMMA PL,VACANT  ,N,1386565,425415,019200670038      ,B201807048,7,S CUMMINSVILLE-MILLVALE,72,
KEEP THE BUILDING VACANT,0330,2736,ENSLIN ST,ORDERS  ,CBHCODE ,  ,2736 ENSLIN ST,VACANT  ,N,1393391,418538,009800040016      ,B201902780,52,UNIVERSITY HEIGHTS,73,
CONDEMNATION,0370,59,ERKENBRECHER AV,HAZARD  ,CBHCODE ,  ,59 ERKENBRECHER AV,VACANT  ,N,1399457,422244,021600420175      ,B201705616,30,CORRYVILLE,74,
CONDEMNATION,1050,1710,ESMONDE ST,HAZARD  ,CBHCODE ,  ,1710 ESMONDE ST,VACANT  ,N,1385862,416171,017000090208      ,B200907329,44,S FAIRMOUNT,75,
CONDEMNATION,1050,1712,ESMONDE ST,HAZARD  ,CBHCODE ,  ,1712 ESMONDE ST,VACANT  ,N,1385851,416202,017000090069      ,B200805941,44,S FAIRMOUNT,76,
KEEP THE BUILDING VACANT,1050,1755,ESMONDE ST,CIVIL2  ,CBHCODE ,  ,1755 ESMONDE ST,VACANT  ,N,1385145,416146,017000090184      ,B201307161,44,S FAIRMOUNT,77,
CONDEMNATION,1050,1790,ESMONDE ST,HAZARD  ,CBHCODE ,  ,1790 ESMONDE ST,VACANT  ,N,1384687,416320,020500210053      ,B201205436,44,S FAIRMOUNT,78,
CONDEMNATION,0950,5723,ESTE AV,FINLNOTC,CBHCODEC,  ,5723 ESTE AV,VACANT  ,N,1401657,438404,023800040017      ,BC20190169,41,WINTON HILLS,79,
KEEP THE BUILDING VACANT,0260,17,ESTELLE ST,CRIMINAL,CBHCODE ,  ,17 ESTELLE ST,VACANT  ,N,1398426,413697,008800080112      ,B201903149,24,MT AUBURN,80,
KEEP THE BUILDING VACANT,0830,3566,ESTES PL,FINLNOTC,CBHCODE ,  ,3566 ESTES PL,VACANT  ,N,1403388,423980,011200060068      ,B201903633,31,AVONDALE,81,
KEEP THE BUILDING VACANT,0830,3566,ESTES PL,FINLNOTC,CBHCODE ,  ,3566 ESTES PL,VACANT  ,N,1403388,423980,011200060068      ,B201903662,31,AVONDALE,82,
CONDEMNATION,0380,2713,EUCLID AV,HAZARD  ,CBHCODE ,  ,2713 EUCLID AV,VACANT  ,N,1398938,418220,009200030033      ,B201804193,30,CORRYVILLE,83,
CONDEMNATION,0270,2226,EUREKA TER,FINLNOTC,CBHCODE ,  ,2226 EUREKA TER,VACANT  ,N,1396546,415497,009500040080      ,B201802056,17,FAIRVIEW-CLIFTON HEIGHTS,84,
CONDEMNATION,0490,3610,EVANSTON AV,CIVIL2  ,CBHCODE ,  ,3610 EVANSTON AV,VACANT  ,N,1411965,422936,005700030098      ,B201610615,11,EVANSTON,85,
KEEP THE BUILDING VACANT,1070,2475,EVERGLADE PL,VSUSPEND,CBHCODE ,  ,2475 EVERGLADE PL,VACANT  ,N,1384914,417537,020300280227      ,B201900173,44,S FAIRMOUNT,86,
KEEP THE BUILDING VACANT,1230,320,FAIRBANKS AV,CIVIL2  ,CBHCODE ,  ,320 FAIRBANKS AV,VACANT  ,N,1380219,405260,015200390136      ,B201802822,47,SEDAMSVILLE-RIVERSIDE,87,
CONDEMNATION,1130,511,FAIRBANKS AV,HAZARD  ,CBHCODE ,  ,511 FAIRBANKS AV,VACANT  ,N,1380831,406847,015500460023      ,B201505922,9,EAST PRICE HILL,88,
KEEP THE BUILDING VACANT,1130,750,FAIRBANKS AV,CIVIL2  ,CBHCODE ,  ,750 FAIRBANKS AV,VACANT  ,N,1381543,409338,017600210079      ,B201503612,9,EAST PRICE HILL,89,
CONDEMNATION,1120,818,FAIRBANKS AV,HAZARD  ,CBHCODE ,  ,818 FAIRBANKS AV,VACANT  ,N,1381601,409848,017600190142      ,B201802861,9,EAST PRICE HILL,90,
CONDEMNATION,1120,926,FAIRBANKS AV,FINLNOTC,CBHCODE ,  ,926 FAIRBANKS AV,VACANT  ,N,1381664,410372,017500180138      ,B201806772,9,EAST PRICE HILL,91,
CONDEMNATION,1120,957,FAIRBANKS AV,CIVIL1  ,CBHCODE ,  ,957 FAIRBANKS AV,VACANT  ,N,1381566,410762,017500180113      ,B201508103,9,EAST PRICE HILL,92,
CONDEMNATION,1120,963,FAIRBANKS AV,FINLNOTC,CBHCODE ,  ,963 FAIRBANKS AV,VACANT  ,N,1381538,410852,017500180116      ,B201808191,9,EAST PRICE HILL,93,
KEEP THE BUILDING VACANT,1110,1042,FAIRBANKS AV,VSUSPEND,CBHCODE ,  ,1042 FAIRBANKS AV,VACANT  ,N,1381849,411656,017400090123      ,B201404848,9,EAST PRICE HILL,94,
CONDEMNATION,1090,1232,FAIRBANKS AV,CIVIL2  ,CBHCODE ,  ,1232 FAIRBANKS AV,VACANT  ,N,1381933,412705,017300030168      ,B201402783,9,EAST PRICE HILL,95,
CONDEMNATION,0480,1722,FAIRFAX AV,ORDERS  ,CBHCODE ,  ,1722 FAIRFAX AV,VACANT  ,N,1408908,419742,005500040114      ,B201904612,11,EVANSTON,96,
HISTORIC -DANGEROUS & UNSAFE,0130,509,12TH ST,VSUSPEND,CBHCODE ,E ,509 E 12TH ST,VACANT  ,N,1399257,410549,,B201807487,,OVER-THE-RHINE,97,
HISTORIC -DANGEROUS & UNSAFE,0130,509,12TH ST,VSUSPEND,CBHCODE ,E ,509 E 12TH ST,VACANT  ,N,1399257,410549,007500030216      ,B201807486,26,OVER-THE-RHINE,98,
KEEP THE BUILDING VACANT,0130,524,12TH ST,CIVIL1  ,CBHCODE ,E ,524 E 12TH ST,VACANT  ,N,1399419,410693,007500030130      ,B201806259,26,OVER-THE-RHINE,99,
HISTORIC -DANGEROUS & UNSAFE,0120,208,13TH ST,FINLNOTC,CBHCODE ,E ,208 E 13TH ST,VACANT  ,N,1397825,410651,007500040043      ,B201707116,28,OVER-THE-RHINE,100,
KEEP THE BUILDING VACANT,0130,423,13TH ST,CIVIL1  ,CBHCODE ,E ,423 E 13TH ST,VACANT  ,N,1398946,410717,007500030058      ,B201610332,26,OVER-THE-RHINE,101,
HISTORIC -DANGEROUS & UNSAFE,0130,427,13TH ST,ORDERS  ,CBHCODE ,E ,427 E 13TH ST,VACANT  ,N,1398984,410734,007500030060      ,B201806990,26,OVER-THE-RHINE,102,
KEEP THE BUILDING VACANT,0130,549,13TH ST,CIVIL2  ,CBHCODE ,E ,549 E 13TH ST,VACANT  ,N,1399715,410850,007500030115      ,B201502056,26,OVER-THE-RHINE,103,
HISTORIC -DANGEROUS & UNSAFE,0120,110,14TH ST,ORDERS  ,CBHCODE ,E ,110 E 14TH ST,VACANT  ,N,1397256,411141,008000010144      ,B201704027,28,OVER-THE-RHINE,104,
KEEP THE BUILDING VACANT,0120,10,15TH ST,ORDERS  ,CBHCODE ,E ,10 E 15TH ST,VACANT  ,N,1396728,411454,008000010033      ,B201303354,28,OVER-THE-RHINE,105,
HISTORIC -DANGEROUS & UNSAFE,0120,12,15TH ST,FINLNOTC,CBHCODE ,E ,12 E 15TH ST,VACANT  ,N,1396742,411465,008000010034      ,B201604228,28,OVER-THE-RHINE,106,
HISTORIC -DANGEROUS & UNSAFE,0120,14,15TH ST,FINLNOTC,CBHCODE ,E ,14 E 15TH ST,VACANT  ,N,1396766,411469,008000010035      ,B201604229,28,OVER-THE-RHINE,107,
HISTORIC -DANGEROUS & UNSAFE,0120,17,15TH ST,ORDERS  ,CBHCODE ,E ,17 E 15TH ST,VACANT  ,N,1396822,411366,008000010069      ,B201703733,28,OVER-THE-RHINE,108,
KEEP THE BUILDING VACANT,0120,20,15TH ST,FINLNOTC,CBHCODE ,E ,20 E 15TH ST,VACANT  ,N,1396857,411493,008000010045      ,B201201367,28,OVER-THE-RHINE,109,
CONDEMNATION,1140,1250,1ST AV,ORDERS  ,CBHCODE ,  ,1250 1ST AV,VACANT  ,N,1378770,413246,017900740326      ,B201905431,46,WEST PRICE HILL,110,
KEEP THE BUILDING VACANT,1150,1612,1ST AV,CIVIL1  ,CBHCODE ,  ,1612 1ST AV,VACANT  ,N,1378795,413817,018100010059      ,B201508275,46,WEST PRICE HILL,111,
CONDEMNATION,1150,1643,1ST AV,HAZARD  ,CBHCODE ,  ,1643 1ST AV,VACANT  ,N,1378699,414237,018100010064      ,B201804987,46,WEST PRICE HILL,112,
KEEP THE BUILDING VACANT,1150,1817,1ST AV,FINLNOTC,CBHCODE ,  ,1817 1ST AV,VACANT  ,N,1378857,415723,018100040088      ,B201904648,46,WEST PRICE HILL,113,
CONDEMNATION,0640,4200,33RD AV,ORDERS  ,CBHCODE ,  ,4200 33RD AV,VACANT  ,N,1420118,426039,004900040183      ,B201609992,51,OAKLEY,114,
CONDEMNATION,0070,108,3RD ST,CIVIL1  ,CBHCODEC,W ,108 W 3RD ST,VACANT  ,N,1396821,406510,014500010290      ,BC20160190,25,CBD-RIVERFRONT,115,
CONDEMNATION,0070,118,3RD ST,CIVIL2  ,CBHCODEC,W ,118 W 3RD ST,VACANT  ,N,1396739,406491,014500010286      ,BC20160183,25,CBD-RIVERFRONT,116,
HISTORIC -DANGEROUS & UNSAFE,0070,33,4TH ST,ORDERS  ,CBHCODEC,W ,33 W 4TH ST,VACANT  ,N,1396970,406866,008300010039      ,BC20190598,25,CBD-RIVERFRONT,117,
KEEP THE BUILDING VACANT,0070,211,4TH ST,ORDERS  ,CBHCODEC,W ,211 W 4TH ST,VACANT  ,N,1396310,406766,014500010159      ,BC20190346,25,CBD-RIVERFRONT,118,
HISTORIC -DANGEROUS & UNSAFE,0050,313,5TH ST,CIVIL2  ,CBHCODEC,W ,313 W 5TH ST,VACANT  ,N,1395782,407103,014500010008      ,BC20160332,25,WEST END,119,
CONDEMNATION,0750,527,63RD ST,CIVIL2  ,CBHCODE ,W ,527 W 63RD ST,VACANT  ,N,1404617,439427,024100020202      ,B201504416,20,CARTHAGE,120,
CONDEMNATION,0750,104,64TH ST,CIVIL1  ,CBHCODE ,W ,104 W 64TH ST,VACANT  ,N,1405151,439536,024100020160      ,B201805550,20,CARTHAGE,121,
CONDEMNATION,0750,104,64TH ST,ORDERS  ,CBHCODE ,W ,104 W 64TH ST,VACANT  ,N,1405151,439536,024100020160      ,B201907661,20,CARTHAGE,122,
CONDEMNATION,0750,122,64TH ST,HAZARD  ,CBHCODE ,W ,122 W 64TH ST,VACANT  ,N,1404944,439708,024100020151      ,B201604245,20,CARTHAGE,123,
KEEP THE BUILDING VACANT,0750,15,65TH ST,VSUSPEND,CBHCODE ,W ,15 W 65TH ST,VACANT  ,N,1405540,439381,024100020097      ,B201707560,20,CARTHAGE,124,
CONDEMNATION,0750,116,65TH ST,FINLNOTC,CBHCODE ,W ,116 W 65TH ST,VACANT  ,N,1405220,439880,024100020084      ,B201903650,20,CARTHAGE,125,
CONDEMNATION,0750,126,65TH ST,CRIMINAL,CBHCODE ,W ,126 W 65TH ST,VACANT  ,N,1405108,439968,024100020079      ,B201803981,20,CARTHAGE,126,
KEEP THE BUILDING VACANT,0750,208,68TH ST,CIVIL2  ,CBHCODE ,W ,208 W 68TH ST,VACANT  ,N,1405851,440878,024100010175      ,B201807711,20,CARTHAGE,127,
KEEP THE BUILDING VACANT,0750,121,69TH ST,ORDERS  ,CBHCODE ,W ,121 W 69TH ST,VACANT  ,N,1406228,440859,024100010119      ,B201905052,20,CARTHAGE,128,
HISTORIC -DANGEROUS & UNSAFE,0090,15,6TH ST,CIVIL2  ,CBHCODEC,W ,15 W 6TH ST,VACANT  ,N,1397010,407763,00770002CD01      ,BC20180721,25,CBD-RIVERFRONT,129,
CONDEMNATION,0010,801,6TH ST,VSUSPEND,CBHCODEC,W ,801 W 6TH ST,VACANT  ,N,1392950,407046,013600040243      ,BC20090181,16,QUEENSGATE,130,
CONDEMNATION,0010,801,6TH ST,VSUSPEND,CBHCODEC,W ,801 W 6TH ST,VACANT  ,N,1392950,407046,013600040243      ,BC20090181,16,QUEENSGATE,130,
CONDEMNATION,1080,2113,8TH ST,FINLNOTC,CBHCODE ,W ,2113 W 8TH ST,VACANT  ,N,1386420,409070,014900110136      ,B201509911,48,LOWER PRICE HILL,131,
CONDEMNATION,1080,2118,8TH ST,FINLNOTC,CBHCODE ,W ,2118 W 8TH ST,VACANT  ,N,1386274,409224,014900140044      ,B201600347,48,LOWER PRICE HILL,132,
KEEP THE BUILDING VACANT,1130,3009,8TH ST,CIVIL2  ,CBHCODE ,W ,3009 W 8TH ST,VACANT  ,N,1383512,409344,017800250112      ,B201604216,9,EAST PRICE HILL,133,
